rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
244,240,1.2,1.6,18,1.0,0.9123060536160026,1.0137475330572403,0.5845453442495248,0.6104377175953063,0.7267037423371295,0.7661697175536214,0.0,0.0,0.0
245,220,1.0,1.6,18,1.0,0.9129865465402571,0.9789114475644792,0.5497092587567639,0.5902540465476708,0.7375721651440115,0.7755592318510661,0.0,0.0,0.0
246,380,1.0,1.2,18,1.0,0.9147178605596493,1.0391392074572952,0.6099370186495796,0.6267526610819836,0.7285824660326788,0.7622336058972544,0.0,0.0,0.0
247,120,0.6,1.6,18,1.0,0.9151714517282822,0.9251985320891305,0.495996343281415,0.5541196106382918,0.7349538743002481,0.7911723659079284,0.0,0.0,0.05555555555555555
248,240,1.6,1.4,18,1.0,0.9154299222647042,1.0321724479755652,0.6029702591678496,0.6366177252387593,0.7376957542348522,0.7646873574727417,0.0,0.0,0.0
249,340,1.2,1.4,18,1.0,0.918268829089741,1.0468375210720253,0.6176353322643098,0.5923459952792391,0.7171328110367672,0.7638599960236635,0.0,0.0,0.0
250,180,1.4,1.4,18,1.0,0.9206906937559376,1.0687318646481865,0.6395296758404707,0.6307015631543199,0.7082058285332437,0.7608082747958199,0.0,0.0,0.0
251,320,1.0,1.4,18,1.0,0.9215994566660786,1.013085096797473,0.5838829079897575,0.5663113041337835,0.7301265783890885,0.7756287296686392,0.0,0.0,0.0
252,220,0.4,0.8,18,1.0,0.9224464468136547,0.9260949770639395,0.496892788256224,0.4338199555170888,0.7631736103512443,0.7982232497495987,0.0,0.0,0.0
253,300,1.6,1.4,18,1.0,0.9252004391633768,1.0065720920643269,0.5773699032566113,0.6302523055858307,0.7506510194254683,0.780857963349224,0.0,0.0,0.0
254,300,1.4,1.4,18,1.0,0.9308787785923819,1.0248171030044004,0.595614914196685,0.6127808636061061,0.7075213148743567,0.7819750500432107,0.0,0.0,0.0
255,240,0.4,0.4,18,1.0,0.9309946633166533,0.8752227836553725,0.4460205948476572,0.36133534227469044,0.7660284243891852,0.819489514604739,0.0,0.0,0.0
256,240,1.0,1.6,18,1.0,0.9312490374611653,1.0008866751652148,0.571684486357499,0.6086494742483555,0.7539679726193407,0.7883279158717905,0.0,0.0,0.0
257,260,1.2,1.6,18,1.0,0.9346043523889166,1.0310776694902304,0.601875480682515,0.6201860119746605,0.7456517292680775,0.7841354822182879,0.0,0.0,0.0
258,320,1.6,1.4,18,1.0,0.9374978808769765,1.007201304915624,0.5779991161079087,0.635425172702045,0.7637267074414996,0.7929981018499993,0.0,0.0,0.0
259,220,0.4,0.4,18,1.0,0.9432143766470673,0.8353352571405374,0.4061330683328218,0.2943467119630344,0.7538560888752546,0.8416811095638619,0.0,0.0,0.05555555555555555
260,360,0.8,1.2,18,1.0,0.9442545369437315,1.0330904861203773,0.6038882973126619,0.571542428634219,0.726888163472745,0.793282462615566,0.0,0.0,0.0
261,220,0.4,1.2,18,1.0,0.945263643530843,1.0661838515256705,0.6369816627179551,0.6495531819749777,0.7371332847213092,0.7860182278513542,0.0,0.0,0.0
262,140,1.2,1.6,18,1.0,0.9456283283217934,1.1064421870950971,0.6772399982873816,0.7032005265121885,0.7665830099721014,0.776318328749948,0.0,0.0,0.0
263,360,1.2,1.4,18,1.0,0.9465600451960152,1.0683162007839406,0.6391140119762252,0.6128950046751859,0.7331712440962678,0.786781542201959,0.0,0.0,0.0
264,240,0.6,1.4,18,1.0,0.9481563631797016,1.0387554352091815,0.6095532464014658,0.59929538057123,0.7608710352110097,0.7957680515793352,0.0,0.0,0.0
